Name,Alt_Name,Acronym,Country_Area,Latitude,Longitude
Bilimkok,,BMK," Mexiko, Campeche (MX-CAM)",20.11,-89.84117
Blackman Eddy,,BED," Belize, Cayo (BZ-CY)",17.2167,-88.9167
Blue Creek,,,"Belize, Orange Walk (BZ-OW)",17.867988,-88.89345
Bonampak,,BPK,"Mexiko, Chiapas (MX-CHP)",16.704,-91.065
Buenavista del Cayo,Buenavista de Cayo = Buenavista,BVC," Belize, Cayo (BZ-CY)",17.13475,-89.12976
Bugambilias,,," Mexiko, Quintana Roo (MX-ROO)",18.33'36.1,-88.21243
Caactun,,CAA,"Mexiko, Yucat·n (MX-YUC)",20.23'31.1,-88.4304
Cahal Pech,,CLP," Belize, Cayo (BZ-CY)",17.145956,-89.073708
Calakmul,,CLK," Mexiko, Campeche (MX-CAM)",18.105612,-89.810328
Canancax,,CNX,"Mexiko, Chiapas (MX-CHP)",16.85975,-91.18561
Cancuen,,CNC,"Guatemala, PetÈn (GT-PE)",16.01469,-90.03842
Candzibaantun,,CDZ," Mexiko, Campeche (MX-CAM)",17.85172,-89.71156
Cap'eldzibtunichna,,CDZ," Mexiko, Campeche (MX-CAM)",20.24405,-89.97677
Caracol,,CRC," Belize, Cayo (BZ-CY)",16.763237,-89.117781
Chacmultun,,CHM,"Mexiko, Yucat·n (MX-YUC)",20.17278,-89.345
Chactun,,," Mexiko, Campeche (MX-CAM)",18.72428,-89.52733
Champerico,,CHP," Mexiko, Campeche (MX-CAM)",17.91422,-89.49914
Chapatengo,,,"Mexiko, Chiapas (MX-CHP)",16.117476,-92.532619
Cheyokolna,,," Mexiko, Campeche (MX-CAM)",17.880833,-89.815833
Chiapa de Corzo,,CPC,"Mexiko, Chiapas (MX-CHP)",16.702936,-93.003933
Chicanna,,CHC," Mexiko, Campeche (MX-CAM)",18.506936,-89.486376†
Chichen Itza,,CHN,"Mexiko, Yucat·n (MX-YUC)",20.683121,-88.569032
Chinikiha,,CNK,"Mexiko, Tabasco (MX-TAB)",17.432832,-91.579593
Chinkultic,,CKL,"Mexiko, Chiapas (MX-CHP)",16.12894,-91.78492
