Name,Alt_Name,Acronym,Country_Area,Latitude,Longitude
Xcalumkin,Holactun = Yokactun,XLM," Mexiko, Campeche (MX-CAM)",20.172139,-90.010194
Xcambo,,XCM,"Mexiko, Yucat·n (MX-YUC)",21.313471,-89.35394
XcanahelebX ,Cana Heleb,XCH,"Mexiko, Yucat·n (MX-YUC)",20.159403,-89.508487
Xcanlol,X'canlol = Flor de Mayo,,"Mexiko, Yucat·n (MX-YUC)",20.188891,-89.294631
Xcaret,,XCT," Mexiko, Quintana Roo (MX-ROO)",20.579287,-87.119497
Xchan,,XCN," Mexiko, Campeche (MX-CAM)",20.05235,-90.02412
Xcocha,,XCA," Mexiko, Campeche (MX-CAM)",20.065883,-90.103217
Xcochkax,Xkochkax,XCK," Mexiko, Campeche (MX-CAM)",20.182862,-89.808182
Xcorralche,Xcoralche = Pich Corralche = X Corralche = Tabi,XCR,"Mexiko, Yucat·n (MX-YUC)",20.300317,-89.53465
Xcucsuc,Xcuksuc,XCU," Mexiko, Campeche (MX-CAM)",20.191565,-89.991928
Xculoc,,XCL," Mexiko, Campeche (MX-CAM)",20.186135,-89.829278
Xelha,Xel-ha,XLH," Mexiko, Quintana Roo (MX-ROO)",20.319208,-87.366394
Xkalachetzimin,Xcalachetzimin,XKA," Mexiko, Campeche (MX-CAM)",20.199658,-90.051777
Xkichmook,Xkichmol,XKM,"Mexiko, Yucat·n (MX-YUC)",19.887364,-89.525174
Xkipche,Cibche = Pozo Cibiche,,"Mexiko, Yucat·n (MX-YUC)",20.299769,-89.828531
Xkombec,Xcombec = Xumbec,XKB," Mexiko, Campeche (MX-CAM)",20.164667,-90.399167
Xkukican,X-Kukican,XKK,"Mexiko, Yucat·n (MX-YUC)",20.240566,-89.408333
Xmakabatun,Xmacabatun = Piedras Negras,XMK,"Guatemala, PetÈn (GT-PE)",17.517222,-89.236666
Xnaheb,Xnaheb Ahse Enel,XNH," Belize, Toledo (BZ-TOL)",16.2795,-88.9035
Xnucbec,San Andres,XNC,"Mexiko, Yucat·n (MX-YUC)",20.295903,-89.681029
Xpuhil II,Xpujil,XPH," Mexiko, Campeche (MX-CAM)",18.50817,-89.405
Xpulyaxche,Pakchen,XPL," Mexiko, Campeche (MX-CAM)",19.529863,-89.80525
Xtablakal,Xtabla,XTB,"Mexiko, Yucat·n (MX-YUC)",19.975333,-89.534833
Xtelhu,,XTH,"Mexiko, Yucat·n (MX-YUC)",20.47592,-88.77589
Xuelen,,XUE," Mexiko, Campeche (MX-CAM)",20.237426,-90.139515
Xul,,XLY,"Mexiko, Yucat·n (MX-YUC)",20.09773,-89.463532
Xulha,,XLA," Mexiko, Quintana Roo (MX-ROO)",18.573087,-88.459773
Xultun,El Delirio = Los Tambos,XUL,"Guatemala, PetÈn (GT-PE)",17.53075,-89.313239
Xunantunich,Benque Viejo = Mount Maloney,XUN," Belize, Cayo (BZ-CY)",17.08944,-89.14167
Xupa,,XUP,"Mexiko, Chiapas (MX-CHP)",17.442083,-91.946583
Xutilha,,XTL,"Guatemala, PetÈn (GT-PE)",16.190937,-89.531279
Yakalmai,,YAK," Mexiko, Campeche (MX-CAM)",20.19178,-90.07153
Yakalxiu,,YKL,"Mexiko, Yucat·n (MX-YUC)",20.182217,-89.500367
Yalcabakal,,YLC," Mexiko, Campeche (MX-CAM)",19.49'35.9,-90.31225
Yaleltsemen,,YLS,"Mexiko, Chiapas (MX-CHP)",16.59'07.2,-93.01079
Yaltutu,Yaltatu = Yaltitud,YLT,"Guatemala, PetÈn (GT-PE)",16.85436,-89.37647
Yaxche Xlabpak,,YXX," Mexiko, Campeche (MX-CAM)",20.12437,-89.71365
Yaxchilan,Menche = Menche Tinamit = La Ville Lorillard = Lorillard City = Lorillard Town = Usumacinta,YAX,"Mexiko, Chiapas (MX-CHP)",16.899712,-90.964698
Yaxcopoil,,YXP,"Mexiko, Yucat·n (MX-YUC)",20.756915,-89.703474
Yaxha,Yaxh√° = Yaxj√° = Ya'axj√°,YXH,"Guatemala, PetÈn (GT-PE)",17.07588,-89.40248
Yaxhom,Yaaxhom,YXM,"Mexiko, Yucat·n (MX-YUC)",20.241896,-89.48589
Yaxuna,,YXN,"Mexiko, Yucat·n (MX-YUC)",20.541596,-88.662541
Yohom,,YOH," Mexiko, Campeche (MX-CAM)",20.17629,-90.07405
YulaUla,,YUL,"Mexiko, Yucat·n (MX-YUC)",20.615642,-88.570021
Yumkax,,YUM,"Mexiko, Yucat·n (MX-YUC)",,
Zacpeten,Sacpeten = Sakpeten,ZPT,"Guatemala, PetÈn (GT-PE)",16.98846,-89.66114
Zaculeu,,ZAC,"Guatemala, Huehuetenango (GT-HU)",15.33379,-91.49275
Zapote Bobal,Hixwitz = Hix Witz,ZPB,"Guatemala, PetÈn (GT-PE)",17.009164,-90.309259
